ts_ct,ts_utc,waitlist_status,parties_ahead,wait_min_minutes,wait_max_minutes,party_size,source,note
2026-08-15T09:00:00,2026-08-15T14:00:00.003Z,OPEN,14,25,35,2,api,
2026-08-15T09:01:00,2026-08-15T14:01:00.006Z,OPEN,16,25,35,2,api,
2026-08-15T09:02:00,2026-08-15T14:02:00.029Z,OPEN,16,25,35,2,api,
2026-08-15T09:03:00,2026-08-15T14:03:00.020Z,OPEN,18,30,40,2,api,
2026-08-15T09:04:00,2026-08-15T14:04:00.027Z,OPEN,19,30,40,2,api,
2026-08-15T09:05:00,2026-08-15T14:05:00.030Z,OPEN,20,35,45,2,api,
2026-08-15T09:06:00,2026-08-15T14:06:00.004Z,OPEN,20,35,45,2,api,
2026-08-15T09:07:00,2026-08-15T14:07:00.028Z,OPEN,21,35,45,2,api,
2026-08-15T09:08:00,2026-08-15T14:08:00.028Z,OPEN,21,35,45,2,api,
2026-08-15T09:09:00,2026-08-15T14:09:00.003Z,OPEN,21,35,45,2,api,
2026-08-15T09:10:00,2026-08-15T14:10:00.006Z,OPEN,23,35,45,2,api,
2026-08-15T09:11:00,2026-08-15T14:11:00.019Z,OPEN,26,40,50,2,api,
2026-08-15T09:12:00,2026-08-15T14:12:00.028Z,OPEN,25,40,50,2,api,
2026-08-15T09:13:00,2026-08-15T14:13:00.021Z,OPEN,25,40,50,2,api,
2026-08-15T09:14:00,2026-08-15T14:14:00.027Z,OPEN,26,40,50,2,api,
2026-08-15T09:15:00,2026-08-15T14:15:00.001Z,OPEN,26,40,50,2,api,
2026-08-15T09:16:00,2026-08-15T14:16:00.028Z,OPEN,27,40,50,2,api,
2026-08-15T09:17:00,2026-08-15T14:17:00.028Z,OPEN,28,45,55,2,api,
2026-08-15T09:18:00,2026-08-15T14:18:00.028Z,OPEN,29,45,55,2,api,
2026-08-15T09:19:00,2026-08-15T14:19:00.029Z,OPEN,30,45,55,2,api,
2026-08-15T09:20:00,2026-08-15T14:20:00.003Z,OPEN,32,50,60,2,api,
2026-08-15T09:21:00,2026-08-15T14:21:00.003Z,OPEN,33,50,60,2,api,
2026-08-15T09:22:00,2026-08-15T14:22:00.003Z,OPEN,35,55,65,2,api,
2026-08-15T09:23:00,2026-08-15T14:23:00.007Z,OPEN,34,50,60,2,api,
2026-08-15T09:24:00,2026-08-15T14:24:00.027Z,OPEN,38,55,70,2,api,
2026-08-15T09:25:00,2026-08-15T14:25:00.028Z,OPEN,38,55,70,2,api,
2026-08-15T09:26:00,2026-08-15T14:26:00.028Z,OPEN,36,55,65,2,api,
2026-08-15T09:27:00,2026-08-15T14:27:00.028Z,OPEN,36,55,65,2,api,
2026-08-15T09:28:00,2026-08-15T14:28:00.003Z,OPEN,34,50,60,2,api,
2026-08-15T09:29:00,2026-08-15T14:29:00.005Z,OPEN,35,55,65,2,api,
2026-08-15T09:30:00,2026-08-15T14:30:00.021Z,OPEN,36,55,65,2,api,
2026-08-15T09:31:00,2026-08-15T14:31:00.028Z,OPEN,37,55,65,2,api,
2026-08-15T09:32:00,2026-08-15T14:32:00.028Z,OPEN,37,55,65,2,api,
2026-08-15T09:33:00,2026-08-15T14:33:00.029Z,OPEN,39,55,70,2,api,
2026-08-15T09:34:00,2026-08-15T14:34:00.028Z,OPEN,40,55,70,2,api,
2026-08-15T09:35:00,2026-08-15T14:35:00.003Z,OPEN,42,60,75,2,api,
2026-08-15T09:36:00,2026-08-15T14:36:00.028Z,OPEN,42,60,75,2,api,
2026-08-15T09:37:00,2026-08-15T14:37:00.028Z,OPEN,42,60,75,2,api,
2026-08-15T09:38:00,2026-08-15T14:38:00.003Z,OPEN,44,60,75,2,api,
2026-08-15T09:39:00,2026-08-15T14:39:00.028Z,OPEN,43,60,75,2,api,
2026-08-15T09:40:00,2026-08-15T14:40:00.029Z,OPEN,43,60,75,2,api,
2026-08-15T09:41:00,2026-08-15T14:41:00.026Z,OPEN,41,55,70,2,api,
2026-08-15T09:42:00,2026-08-15T14:42:00.019Z,OPEN,39,55,70,2,api,
2026-08-15T09:43:00,2026-08-15T14:43:00.023Z,OPEN,38,55,70,2,api,
2026-08-15T09:44:00,2026-08-15T14:44:00.028Z,OPEN,37,55,65,2,api,
2026-08-15T09:45:00,2026-08-15T14:45:00.028Z,OPEN,37,55,65,2,api,
2026-08-15T09:46:00,2026-08-15T14:46:00.016Z,OPEN,36,55,65,2,api,
2026-08-15T09:47:00,2026-08-15T14:47:00.028Z,OPEN,35,55,65,2,api,
2026-08-15T09:48:00,2026-08-15T14:48:00.003Z,OPEN,36,55,65,2,api,
2026-08-15T09:49:00,2026-08-15T14:49:00.028Z,OPEN,36,55,65,2,api,
